price,quantity,type,timestamp
38986000,0.0976,0,04/28 17:51:58
38985000,0.1155,0,04/28 17:51:58
38984000,0.0789,0,04/28 17:51:58
38983000,0.0858,0,04/28 17:51:58
38982000,0.0621,0,04/28 17:51:58
38996000,0.0318,1,04/28 17:51:58
39000000,1.261,1,04/28 17:51:58
39002000,0.0094,1,04/28 17:51:58
39003000,0.0527,1,04/28 17:51:58
39004000,0.0899,1,04/28 17:51:58
38986000,0.0945,0,04/28 17:51:59
38985000,0.1155,0,04/28 17:51:59
38984000,0.0789,0,04/28 17:51:59
38983000,0.0858,0,04/28 17:51:59
38981000,0.0405,0,04/28 17:51:59
39000000,1.261,1,04/28 17:51:59
39001000,0.0607,1,04/28 17:51:59
39002000,0.0094,1,04/28 17:51:59
39003000,0.0527,1,04/28 17:51:59
39004000,0.0899,1,04/28 17:51:59
38986000,0.0864,0,04/28 17:52:00
38985000,0.1155,0,04/28 17:52:00
38984000,0.0789,0,04/28 17:52:00
38983000,0.0858,0,04/28 17:52:00
38980000,0.0571,0,04/28 17:52:00
38998000,0.0081,1,04/28 17:52:00
39000000,1.261,1,04/28 17:52:00
39001000,0.144,1,04/28 17:52:00
39002000,0.0094,1,04/28 17:52:00
39003000,0.0527,1,04/28 17:52:00
38986000,0.0864,0,04/28 17:52:01
38985000,0.0519,0,04/28 17:52:01
38984000,0.0789,0,04/28 17:52:01
38983000,0.0858,0,04/28 17:52:01
38980000,0.0571,0,04/28 17:52:01
38998000,0.0719,1,04/28 17:52:01
39000000,1.261,1,04/28 17:52:01
39001000,0.144,1,04/28 17:52:01
39002000,0.0094,1,04/28 17:52:01
39003000,0.0527,1,04/28 17:52:01
38985000,0.0519,0,04/28 17:52:02
38984000,0.0789,0,04/28 17:52:02
38983000,0.0858,0,04/28 17:52:02
38981000,0.0644,0,04/28 17:52:02
38980000,0.0571,0,04/28 17:52:02
38998000,0.1924,1,04/28 17:52:02
39000000,1.261,1,04/28 17:52:02
39001000,0.0833,1,04/28 17:52:02
39002000,0.0094,1,04/28 17:52:02
39003000,0.0527,1,04/28 17:52:02
38985000,0.0519,0,04/28 17:52:03
38984000,0.0789,0,04/28 17:52:03
38983000,0.0858,0,04/28 17:52:03
38981000,0.0644,0,04/28 17:52:03
38980000,0.0571,0,04/28 17:52:03
38998000,0.1924,1,04/28 17:52:03
39000000,1.261,1,04/28 17:52:03
39001000,0.0833,1,04/28 17:52:03
39002000,0.0094,1,04/28 17:52:03
39003000,0.0527,1,04/28 17:52:03
38985000,0.0519,0,04/28 17:52:04
38984000,0.0789,0,04/28 17:52:04
38983000,0.0858,0,04/28 17:52:04
38981000,0.0644,0,04/28 17:52:04
38980000,0.0571,0,04/28 17:52:04
38998000,0.1924,1,04/28 17:52:04
39000000,1.261,1,04/28 17:52:04
39001000,0.0833,1,04/28 17:52:04
39002000,0.0094,1,04/28 17:52:04
39003000,0.0527,1,04/28 17:52:04
38985000,0.0519,0,04/28 17:52:05
38984000,0.0789,0,04/28 17:52:05
38983000,0.0858,0,04/28 17:52:05
38981000,0.0644,0,04/28 17:52:05
38980000,0.0571,0,04/28 17:52:05
38998000,0.1924,1,04/28 17:52:05
39000000,1.261,1,04/28 17:52:05
39001000,0.0833,1,04/28 17:52:05
39002000,0.0094,1,04/28 17:52:05
39003000,0.0527,1,04/28 17:52:05
38986000,0.0727,0,04/28 17:52:07
38985000,0.0491,0,04/28 17:52:07
38984000,0.0789,0,04/28 17:52:07
38983000,0.0858,0,04/28 17:52:07
38981000,0.0644,0,04/28 17:52:07
38998000,0.1205,1,04/28 17:52:07
39000000,1.261,1,04/28 17:52:07
39001000,0.0833,1,04/28 17:52:07
39002000,0.0094,1,04/28 17:52:07
39003000,0.0527,1,04/28 17:52:07
38986000,0.158,0,04/28 17:52:08
38985000,0.0491,0,04/28 17:52:08
38984000,0.0789,0,04/28 17:52:08
38983000,0.0858,0,04/28 17:52:08
38981000,0.0403,0,04/28 17:52:08
38998000,0.0313,1,04/28 17:52:08
39000000,1.261,1,04/28 17:52:08
39001000,0.0833,1,04/28 17:52:08
39002000,0.0094,1,04/28 17:52:08
39003000,0.0527,1,04/28 17:52:08
38988000,0.1236,0,04/28 17:52:09
38986000,0.158,0,04/28 17:52:09
38985000,0.088,0,04/28 17:52:09
38984000,0.0789,0,04/28 17:52:09
38983000,0.0858,0,04/28 17:52:09
38998000,0.019,1,04/28 17:52:09
39002000,0.0094,1,04/28 17:52:09
39003000,0.0527,1,04/28 17:52:09
39004000,0.0652,1,04/28 17:52:09
39007000,0.2228,1,04/28 17:52:09
38990000,0.2455,0,04/28 17:52:10
38988000,0.0847,0,04/28 17:52:10
38986000,0.158,0,04/28 17:52:10
38985000,0.0491,0,04/28 17:52:10
38984000,0.0789,0,04/28 17:52:10
39007000,0.0793,1,04/28 17:52:10
39008000,0.0478,1,04/28 17:52:10
39010000,0.0091,1,04/28 17:52:10
39011000,0.056,1,04/28 17:52:10
39013000,0.3301,1,04/28 17:52:10
38997000,0.0652,0,04/28 17:52:11
38996000,0.0694,0,04/28 17:52:11
38994000,0.1563,0,04/28 17:52:11
38993000,0.0048,0,04/28 17:52:11
38992000,0.1598,0,04/28 17:52:11
39007000,0.0793,1,04/28 17:52:11
39010000,0.0966,1,04/28 17:52:11
39011000,0.056,1,04/28 17:52:11
39012000,0.0051,1,04/28 17:52:11
39013000,0.3301,1,04/28 17:52:11
38997000,0.0652,0,04/28 17:52:12
38996000,0.0694,0,04/28 17:52:12
38994000,0.1563,0,04/28 17:52:12
38993000,0.0048,0,04/28 17:52:12
38992000,0.1598,0,04/28 17:52:12
39007000,0.0793,1,04/28 17:52:12
39010000,0.0966,1,04/28 17:52:12
39011000,0.056,1,04/28 17:52:12
39012000,0.0051,1,04/28 17:52:12
39013000,0.3301,1,04/28 17:52:12
38997000,0.0652,0,04/28 17:52:14
38996000,0.0694,0,04/28 17:52:14
38994000,0.1563,0,04/28 17:52:14
38993000,0.0048,0,04/28 17:52:14
38992000,0.1598,0,04/28 17:52:14
39007000,0.0793,1,04/28 17:52:14
39010000,0.0966,1,04/28 17:52:14
39011000,0.056,1,04/28 17:52:14
39012000,0.0051,1,04/28 17:52:14
39013000,0.3301,1,04/28 17:52:14
38997000,0.0652,0,04/28 17:52:15
38996000,0.0694,0,04/28 17:52:15
38994000,0.0938,0,04/28 17:52:15
38993000,0.0048,0,04/28 17:52:15
38992000,0.1598,0,04/28 17:52:15
39010000,0.0875,1,04/28 17:52:15
39011000,0.056,1,04/28 17:52:15
39012000,0.0051,1,04/28 17:52:15
39013000,0.3301,1,04/28 17:52:15
39014000,0.0332,1,04/28 17:52:15
38999000,0.0741,0,04/28 17:52:16
38997000,0.0652,0,04/28 17:52:16
38996000,0.0694,0,04/28 17:52:16
38994000,0.0938,0,04/28 17:52:16
38993000,0.0048,0,04/28 17:52:16
39006000,0.0026,1,04/28 17:52:16
39011000,0.056,1,04/28 17:52:16
39012000,0.0051,1,04/28 17:52:16
39013000,0.3301,1,04/28 17:52:16
39014000,0.1166,1,04/28 17:52:16
38999000,0.0741,0,04/28 17:52:17
38997000,0.0652,0,04/28 17:52:17
38996000,0.0694,0,04/28 17:52:17
38994000,0.0938,0,04/28 17:52:17
38993000,0.0048,0,04/28 17:52:17
39006000,0.0026,1,04/28 17:52:17
39011000,0.056,1,04/28 17:52:17
39012000,0.0051,1,04/28 17:52:17
39013000,0.3301,1,04/28 17:52:17
39014000,0.1166,1,04/28 17:52:17
38994000,0.0541,0,04/28 17:52:18
38993000,0.0048,0,04/28 17:52:18
38992000,0.1598,0,04/28 17:52:18
38990000,0.142,0,04/28 17:52:18
38986000,0.0775,0,04/28 17:52:18
38999000,0.4838,1,04/28 17:52:18
39006000,0.086,1,04/28 17:52:18
39010000,0.0093,1,04/28 17:52:18
39011000,0.1447,1,04/28 17:52:18
39012000,0.0683,1,04/28 17:52:18
38994000,0.1164,0,04/28 17:52:19
38993000,0.0048,0,04/28 17:52:19
38992000,0.1598,0,04/28 17:52:19
38990000,0.142,0,04/28 17:52:19
38986000,0.1179,0,04/28 17:52:19
38999000,0.4838,1,04/28 17:52:19
39006000,0.086,1,04/28 17:52:19
39010000,0.0093,1,04/28 17:52:19
39011000,0.1447,1,04/28 17:52:19
39012000,0.0683,1,04/28 17:52:19
38994000,0.1164,0,04/28 17:52:20
38993000,0.0048,0,04/28 17:52:20
38992000,0.1598,0,04/28 17:52:20
38990000,0.1556,0,04/28 17:52:20
38986000,0.0495,0,04/28 17:52:20
38999000,0.4838,1,04/28 17:52:20
39006000,0.086,1,04/28 17:52:20
39009000,0.0463,1,04/28 17:52:20
39010000,0.0093,1,04/28 17:52:20
39011000,1.4057,1,04/28 17:52:20
38994000,0.1164,0,04/28 17:52:21
38993000,0.0048,0,04/28 17:52:21
38992000,0.1598,0,04/28 17:52:21
38990000,0.1556,0,04/28 17:52:21
38986000,0.0495,0,04/28 17:52:21
38999000,0.4838,1,04/28 17:52:21
39006000,0.086,1,04/28 17:52:21
39009000,0.0463,1,04/28 17:52:21
39010000,0.0093,1,04/28 17:52:21
39011000,1.4057,1,04/28 17:52:21
38994000,0.1164,0,04/28 17:52:22
38993000,0.0048,0,04/28 17:52:22
38992000,0.1598,0,04/28 17:52:22
38990000,0.1556,0,04/28 17:52:22
38986000,0.0495,0,04/28 17:52:22
38999000,0.4543,1,04/28 17:52:22
39006000,0.086,1,04/28 17:52:22
39008000,0.0552,1,04/28 17:52:22
39009000,0.0463,1,04/28 17:52:22
39010000,0.0093,1,04/28 17:52:22
38994000,0.114,0,04/28 17:52:23
38993000,0.0048,0,04/28 17:52:23
38992000,0.0781,0,04/28 17:52:23
38990000,0.1556,0,04/28 17:52:23
38986000,0.0495,0,04/28 17:52:23
38999000,0.4543,1,04/28 17:52:23
39004000,0.0318,1,04/28 17:52:23
39006000,0.086,1,04/28 17:52:23
39008000,0.0552,1,04/28 17:52:23
39009000,0.0463,1,04/28 17:52:23
38984000,0.0789,0,04/28 17:52:24
38980000,0.0891,0,04/28 17:52:24
38979000,0.058,0,04/28 17:52:24
38978000,0.0391,0,04/28 17:52:24
38977000,0.6557,0,04/28 17:52:24
38991000,0.0123,1,04/28 17:52:24
38992000,0.0132,1,04/28 17:52:24
38993000,0.0993,1,04/28 17:52:24
38997000,0.0886,1,04/28 17:52:24
38998000,0.0491,1,04/28 17:52:24
38980000,0.0013,0,04/28 17:52:25
38979000,0.058,0,04/28 17:52:25
38977000,0.0557,0,04/28 17:52:25
38976000,0.0054,0,04/28 17:52:25
38974000,0.0316,0,04/28 17:52:25
38989000,0.0078,1,04/28 17:52:25
38992000,0.064,1,04/28 17:52:25
38993000,0.1704,1,04/28 17:52:25
38995000,0.0868,1,04/28 17:52:25
38996000,0.1042,1,04/28 17:52:25
38974000,0.0316,0,04/28 17:52:26
38973000,0.0064,0,04/28 17:52:26
38971000,0.1383,0,04/28 17:52:26
38970000,0.0634,0,04/28 17:52:26
38969000,0.0551,0,04/28 17:52:26
38982000,0.058,1,04/28 17:52:26
38983000,0.094,1,04/28 17:52:26
38984000,0.0858,1,04/28 17:52:26
38986000,0.0622,1,04/28 17:52:26
38989000,0.1115,1,04/28 17:52:26
38974000,0.0316,0,04/28 17:52:27
38973000,0.0064,0,04/28 17:52:27
38971000,0.1383,0,04/28 17:52:27
38970000,0.0634,0,04/28 17:52:27
38969000,0.0551,0,04/28 17:52:27
38981000,0.0093,1,04/28 17:52:27
38982000,0.058,1,04/28 17:52:27
38983000,0.094,1,04/28 17:52:27
38984000,0.0858,1,04/28 17:52:27
38986000,0.0622,1,04/28 17:52:27
38974000,0.0316,0,04/28 17:52:28
38973000,0.0064,0,04/28 17:52:28
38971000,0.1383,0,04/28 17:52:28
38970000,0.0634,0,04/28 17:52:28
38969000,0.0551,0,04/28 17:52:28
38982000,0.058,1,04/28 17:52:28
38983000,0.094,1,04/28 17:52:28
38984000,0.0858,1,04/28 17:52:28
38986000,0.0622,1,04/28 17:52:28
38987000,0.0313,1,04/28 17:52:28
38982000,0.058,0,04/28 17:52:30
38974000,0.0452,0,04/28 17:52:30
38973000,0.0064,0,04/28 17:52:30
38971000,0.1383,0,04/28 17:52:30
38970000,0.0634,0,04/28 17:52:30
38983000,0.094,1,04/28 17:52:30
38986000,0.0622,1,04/28 17:52:30
38987000,0.0313,1,04/28 17:52:30
38992000,0.064,1,04/28 17:52:30
38993000,0.06,1,04/28 17:52:30
38982000,0.058,0,04/28 17:52:31
38974000,0.0452,0,04/28 17:52:31
38973000,0.0064,0,04/28 17:52:31
38971000,0.1383,0,04/28 17:52:31
38970000,0.0634,0,04/28 17:52:31
38983000,0.094,1,04/28 17:52:31
38986000,0.0622,1,04/28 17:52:31
38987000,0.0313,1,04/28 17:52:31
38992000,0.064,1,04/28 17:52:31
38993000,0.06,1,04/28 17:52:31
38974000,0.0452,0,04/28 17:52:32
38973000,0.0064,0,04/28 17:52:32
38971000,0.1383,0,04/28 17:52:32
38970000,0.0634,0,04/28 17:52:32
38969000,0.0551,0,04/28 17:52:32
38984000,0.0845,1,04/28 17:52:32
38986000,0.0622,1,04/28 17:52:32
38987000,0.0313,1,04/28 17:52:32
38988000,0.0873,1,04/28 17:52:32
38990000,0.0493,1,04/28 17:52:32
38974000,0.0452,0,04/28 17:52:33
38973000,0.0064,0,04/28 17:52:33
38971000,0.1383,0,04/28 17:52:33
38970000,0.0634,0,04/28 17:52:33
38969000,0.0551,0,04/28 17:52:33
38986000,0.0622,1,04/28 17:52:33
38987000,0.0313,1,04/28 17:52:33
38988000,0.0873,1,04/28 17:52:33
38990000,0.0493,1,04/28 17:52:33
38991000,0.0084,1,04/28 17:52:33
38973000,0.0064,0,04/28 17:52:34
38971000,0.0064,0,04/28 17:52:34
38970000,0.0634,0,04/28 17:52:34
38969000,0.0551,0,04/28 17:52:34
38968000,0.005,0,04/28 17:52:34
38984000,0.0845,1,04/28 17:52:34
38986000,0.0622,1,04/28 17:52:34
38987000,0.0313,1,04/28 17:52:34
38988000,0.0873,1,04/28 17:52:34
38990000,0.0493,1,04/28 17:52:34
38973000,0.1579,0,04/28 17:52:35
38971000,0.0064,0,04/28 17:52:35
38970000,0.1506,0,04/28 17:52:35
38969000,0.0955,0,04/28 17:52:35
38968000,0.005,0,04/28 17:52:35
38985000,1.261,1,04/28 17:52:35
38987000,0.0313,1,04/28 17:52:35
38988000,0.0873,1,04/28 17:52:35
38990000,0.0493,1,04/28 17:52:35
38991000,0.0084,1,04/28 17:52:35
38973000,0.1579,0,04/28 17:52:36
38971000,0.0064,0,04/28 17:52:36
38970000,0.1506,0,04/28 17:52:36
38969000,0.0955,0,04/28 17:52:36
38968000,0.005,0,04/28 17:52:36
38985000,1.261,1,04/28 17:52:36
38987000,0.0313,1,04/28 17:52:36
38988000,0.0873,1,04/28 17:52:36
38990000,0.0493,1,04/28 17:52:36
38991000,0.0084,1,04/28 17:52:36
38976000,0.1459,0,04/28 17:52:37
38974000,0.0698,0,04/28 17:52:37
38973000,0.1579,0,04/28 17:52:37
38972000,0.0423,0,04/28 17:52:37
38971000,0.0064,0,04/28 17:52:37
38987000,0.0313,1,04/28 17:52:37
38990000,0.0493,1,04/28 17:52:37
38991000,0.064,1,04/28 17:52:37
38992000,0.1086,1,04/28 17:52:37
38993000,0.0211,1,04/28 17:52:37
38971000,0.0064,0,04/28 17:52:38
